,Loan_ID,Loan_Status
0,LP001015,No
1,LP001022,No
2,LP001031,No
3,LP001035,No
4,LP001051,No
5,LP001054,No
6,LP001055,No
7,LP001056,Yes
8,LP001059,Yes
9,LP001067,No
10,LP001078,Yes
11,LP001082,No
12,LP001083,Yes
13,LP001094,No
14,LP001096,Yes
15,LP001099,No
16,LP001105,No
17,LP001107,No
18,LP001108,No
19,LP001115,No
20,LP001121,No
21,LP001124,Yes
22,LP001128,No
23,LP001135,Yes
24,LP001149,No
25,LP001153,No
26,LP001163,No
27,LP001169,No
28,LP001174,No
29,LP001176,No
30,LP001177,Yes
31,LP001183,No
32,LP001185,No
33,LP001187,No
34,LP001190,No
35,LP001203,No
36,LP001208,No
37,LP001210,No
38,LP001211,No
39,LP001219,No
40,LP001220,No
41,LP001221,No
42,LP001226,No
43,LP001230,No
44,LP001231,No
45,LP001232,No
46,LP001237,No
47,LP001242,No
48,LP001268,No
49,LP001270,No
50,LP001284,No
51,LP001287,No
52,LP001291,No
53,LP001298,No
54,LP001312,Yes
55,LP001313,Yes
56,LP001317,No
57,LP001321,No
58,LP001323,No
59,LP001324,Yes
60,LP001332,No
61,LP001335,No
62,LP001338,No
63,LP001347,No
64,LP001348,No
65,LP001351,No
66,LP001352,No
67,LP001358,Yes
68,LP001359,Yes
69,LP001361,No
70,LP001366,No
71,LP001368,Yes
72,LP001375,No
73,LP001380,No
74,LP001386,No
75,LP001400,No
76,LP001407,No
77,LP001413,No
78,LP001415,No
79,LP001419,Yes
80,LP001420,No
81,LP001428,Yes
82,LP001445,Yes
83,LP001446,No
84,LP001450,Yes
85,LP001452,No
86,LP001455,No
87,LP001466,No
88,LP001471,No
89,LP001472,No
90,LP001475,No
91,LP001483,Yes
92,LP001486,No
93,LP001490,No
94,LP001496,No
95,LP001499,No
96,LP001500,No
97,LP001501,No
98,LP001517,No
99,LP001527,No
100,LP001534,Yes
101,LP001542,No
102,LP001547,No
103,LP001548,No
104,LP001558,No
105,LP001561,No
106,LP001563,No
107,LP001567,No
108,LP001568,Yes
109,LP001573,No
110,LP001584,No
111,LP001587,No
112,LP001589,No
